Date,Open,High,Low,Close,Volume
2022-10-19,36.57,37.36,35.89,36.36,264953
2022-10-20,36.49,37.55,35.77,37.29,283457
2022-10-21,37.01,37.29,35.68,36.12,253101
2022-10-24,36.9,37.3,35.53,37.3,323073
2022-10-25,37.66,38.1,36.69,37.71,422696
2022-10-26,37.95,40.49,37.5,40.49,894426
2022-10-27,40.1,41.4,39.37,40.41,586353
2022-10-28,39.8,42.01,39.4,41.22,552016
2022-10-31,41.48,43,41,41.54,504026
2022-11-02,41.71,43.45,41.49,43,839705
2022-11-03,42.4,45.35,42,45.35,903957
2022-11-04,45.7,48.38,45.7,47.58,1068482
2022-11-07,47.58,49.49,45.08,45.7,1338958
2022-11-08,45.5,48.28,45.4,47.9,672438
2022-11-09,48,48.7,47.06,48.38,454233
2022-11-10,47.4,48.1,45.62,47.2,1129567
2022-11-14,47.07,48.2,45.84,46.87,1231674
2022-11-15,46.9,47.74,45.92,47.21,708114
2022-11-16,46,48.1,45.94,46.56,644265
2022-11-17,46.4,46.99,45.33,45.86,578540
2022-11-18,46,47.08,45.6,46.37,438697
2022-11-21,46.34,46.34,44.44,45,923200
2022-11-22,45.3,47.19,45.3,46.4,659586
2022-11-23,46.77,47.8,46.25,46.54,406402
2022-11-24,46.71,47.45,45.94,47.45,442612
2022-11-25,47.48,47.8,46.9,47.34,304300
2022-11-28,47.32,49.92,47.11,49.47,711057
2022-11-29,51.6,57.4,51.6,57.4,2574827
2022-11-30,57.4,61.68,56.14,60.06,1904181
2022-12-01,61.92,62.6,57.04,58.02,1899039
2022-12-02,57.8,58.8,56.42,57.44,765213
2022-12-05,57.44,59.12,57.38,57.5,381754
2022-12-06,57,57.2,55.5,56.3,572767
2022-12-07,55.86,56.86,55.74,56.36,348429
2022-12-08,56.24,56.58,55,55.52,442304
2022-12-09,55.6,56.74,55.02,56.72,428522
2022-12-12,56,59.34,55.78,58.4,748457
2022-12-13,58.9,60.08,57.36,58.3,619808
2022-12-14,58.04,58.8,57.12,57.24,488253
2022-12-15,57,58.48,56.64,58.36,524052
2022-12-16,57,57.66,55.66,56.86,707754
2022-12-19,56.5,57.64,56.22,56.46,171549
2022-12-20,56,57.3,55.5,57.16,387035
2022-12-21,57.4,57.7,56.32,57.7,264447
2022-12-22,57.7,58.1,56.52,56.52,291383
2022-12-23,56.5,57.1,56.1,56.62,299117
2022-12-27,57,57.02,55,55,445217
2022-12-28,54.5,56.02,53.5,54.78,470910
2022-12-29,54.76,56.98,54.5,56.62,353703
2022-12-30,56.5,58.2,56.3,58.16,483261
2023-01-02,58.1,58.96,57,57.98,441668
2023-01-03,58,59.44,55,55,1009332
2023-01-04,55.1,58.38,55.1,57.5,1057871
2023-01-05,57.2,57.96,55.82,56.52,437120
2023-01-09,57.5,58.66,57.22,58.08,485484
2023-01-10,57.8,58.64,57.4,58.48,304702
2023-01-11,58.48,60.6,58.08,59.46,880894
2023-01-12,60,60.08,58.3,58.4,437338
2023-01-13,58.42,58.66,57.78,57.9,256252
2023-01-16,57.5,57.5,55.9,56.08,351173
2023-01-17,56.06,56.96,55.9,56.38,311393
2023-01-18,56.5,59.24,56.5,58.1,466283
2023-01-19,57.4,57.98,56.5,57.38,275992
2023-01-20,57.5,59.5,57.5,58.8,522149
2023-01-23,59.38,61.68,59.38,61.28,646402
2023-01-24,61.52,65.86,61.52,64.42,1154270
2023-01-25,64.42,64.62,63.16,64.48,387260
2023-01-26,64.8,66.34,64.5,64.96,505496
2023-01-27,65.4,65.4,64.22,64.32,316344
2023-01-30,64,64.56,62.26,63.84,328844
2023-01-31,63.26,67.24,62.8,67.24,763218
2023-02-01,67,67.98,59.42,59.42,1861634
2023-02-02,63.2,63.8,60.12,60.5,1220793
2023-02-03,60.7,60.8,56.6,57.62,1192464
2023-02-06,57.6,58.9,57.02,57.5,464800
2023-02-07,58,58.46,57.2,57.6,263694
2023-02-08,58.46,60.1,56.88,59.66,628547
2023-02-09,60.48,60.48,57.3,57.42,538558
2023-02-10,57.16,57.98,55.44,56.44,659030
2023-02-13,56.44,56.88,51.02,53.72,1409364
2023-02-14,54,55.62,53.2,54.88,635916
2023-02-15,54.5,56.36,54.16,55.94,300505
2023-02-16,56.2,56.48,54.84,55.6,321139
2023-02-17,55.5,56,55.02,55.9,171972
2023-02-20,55.68,56.5,55.28,56.1,155123
2023-02-21,56.1,56.2,54.8,55.34,191044
2023-02-22,55.44,55.46,52.94,53.28,381280
2023-02-23,53.52,55.98,53.5,55.76,352998
2023-02-24,55.26,55.5,53.44,54.06,310075
2023-02-27,54.96,55.24,54.1,54.8,175060
2023-02-28,54.3,55.12,53.44,54.66,376781
2023-03-01,55,56.6,54.76,55.54,430067
